wav_name	transcription	translation
5_0001.wav	مەلایەک بوو لە دێیەکی مەسەلەن وەگەو دێی	It was a swimming pool in a marsh, and so on.
5_0002.wav	پێیان دەگوتم مەلا کلوو	They called me Mala Clue.
5_0003.wav	لە تریژی دەگەڕا لەوێ دەگەڕا لەوێ دەگەڕا لەوێ دەگەڕا	He searched in Trichy. He looked there, he looked there.
5_0004.wav	نیەن نا مەلا کلۆ	Neen Na Mala Cloe
5_0005.wav	مەلەکڵۆ	Malaclo
5_0006.wav	نێوبانجی بڵابوو هەر لە ویندەی کۆنە ئەو توشی ڤیدە بوو دەڵێ مەلا کلۆیە دەڵێ مەلا کلۆیە دەڵێ مەلا کلۆیە	"Newbanji said that he was already in the old window. He was in the video. He said, ""Mella Cloe""."
5_0007.wav	کوڕە تۆش نیەتی بۆ خودا ئەمە ئابڕوومان چوو ئەو نێویەی بە سەرماندا دابڕاوە هەست بە ئابڕووت بە مەملەکەتێکی دیکە	Son, you're not God's gift to us. We've been through this. The one we've lost has been taken away from us.
5_0008.wav	بچین بۆ وڵاتێکی دیکە بە ئە و نیوەمان	Let's go to another country in a year and a half.
5_0009.wav	لە سەر داکی و	On top of the hill,
5_0010.wav	حەیدەنەکرد کە دێنێ نامان ناسن چاک و نیوەمان لەسەر لادەبەن	They didn't like the fact that yesterday they recognized us. We're halfway out of town.
5_0011.wav	بەڵا هەڵدەستێین دەچینە مەنتیقەیش کە لەوێ جگا ڕگایی دەخوازێتەوە و دەڵێم مەلام و پێش نوێژ ئەکەم و	Leaving, we sailed to Antioch, where we found a synagogue and prayed to God.
5_0012.wav	وەلێ چی حەدیس و قورئان و شتیوم	But what about the Hadith, the Qur'an, and other things?
5_0013.wav	دوهاگوو بوو	It was late.
5_0014.wav	ئەڵێن زوو چاکە مامۆستا بە خێری	They say it's too soon, the teacher is too late.
5_0015.wav	وەرە ئەوەندەت بە ڕات دەدەین وەرە بەم مەلامانوو	Come on, we're going to give you a run for your money. Come on.
5_0016.wav	ساڵانە ئەوەندەت دەدەین ماڵە ئەوەندە یا پووڵ دەبێ یا گەنم دەبێ دەیدەنێ	Every year we give you as much as the house or the money or the wheat would give you.
5_0017.wav	بەڵام مەلا زۆر لۆی بە قەدر دەبێ	But Maela is too lazy to be appreciated.
5_0018.wav	مەلا منداڵەش لە نێودیدە نەخۆش دەبن ئەگەر دەچین بۆ نیشتەجێ	Mala, the children will get sick internationally if we move in.
5_0019.wav	مەلا ئیدی بە دەستووراتێکی جوان و لەبار و	Malala Yousafzai has a beautiful constitution.
5_0020.wav	وانیک	It's not.
5_0021.wav	بە دڵەوە نیشتوویی دەنووسێ دڵە هاڕ	"He writes from his heart, ""Heart, heart, heart""."
5_0022.wav	ئە و نشتووەی بەرەوە منداڵەکەت خیانەت مەسەلەن دە ئاوی هەڵچێشە ئاوەکەی بڕک بخۆ خۆت بخۆ و ڕێشی بدە بە منداڵەکەی	That's what's missing in front of you. Your child's betrayal is like 10 cups of boiling water.
5_0023.wav	ئینشاڵڵا سادەبێتەوە	Inshallah, it will be easy.
5_0024.wav	ئەمە نیشکوی مەلای	This is the Malayan Desert.
5_0025.wav	نیشتی و مەلای	Native and Malay
5_0026.wav	وانێک بوو	It was a lesson.
5_0027.wav	وەک ڕێکەوت چی لێهاتبوو	What was the coincidence?
5_0028.wav	کوڕۆکەم باب و قڕاماتی هەیە	My son has a baby and a pencil.
5_0029.wav	ئەو منداڵەی کە نەخۆش دەبێ نیشتووی بۆ دەکا فەورێن چاک دەبێتەوە	The child that is sick shall lie in his bed, and shall be healed at once.
5_0030.wav	نیشتووی بۆ ئەسکەسکا فەرەنسا دەبێتەوە	He landed in Ascasca, France.
5_0031.wav	تەڵە قسە بە قسەی یەک دەڵێ شێخە	Tallah speaks with one word Sheikh says
