wav_name	transcription	translation
4_0001.wav	دە وانی کەیدا گوتی دووبارە میوانێکی هات سوڵتان مەحموود	"He said, ""There is another guest, Sultan Mahmud""."
4_0002.wav	ئەگە میوانەی هات	Other guests came.
4_0003.wav	میوانت چی کرد	What did your guests do?
4_0004.wav	نەقدێکی گڵ پێ بوو سێوێکی پێ بوو	It was a clay note. It was an apple.
4_0005.wav	هەنارێکشی پێ بوو	And he had an ointment on his feet.
4_0006.wav	سێوەکەی لە کنە خۆی دا نابوو کۆگڵەکەشی لە پێش خۆی دا نابوو	The apple was not in its bowl, and the basket was not before it.
4_0007.wav	هەنارەکەشی لە پێش خۆیەوە بوو	And the exhibit was right in front of him.
4_0008.wav	حەسیشیان حەت چەنگیان کوت ئەتۆ ئە و هەنارەت بۆ چیە و ئە و سێوەت بۆ چیە و چ کارێکت هەیە و بۆ چی هاتووبی هیچ کەس بۆی مەعلووم نەبوو	They were curious about you and what you were doing and what your job was and why you were here, and no one knew.
4_0009.wav	هەیا کوتی	There's a cat.
4_0010.wav	فڵانە کەسێکم پێشی دێ جۆڵایە زۆر عاقڵمەندە با بچم ئەمن لەو کابرایە بپرسم	Maybe I'll meet someone. That's very clever. Let me go ask that guy.
4_0011.wav	بەڵا هەستا چووە کنجۆڵا گوتی جۆڵا ئەمە میوانێکمان هاتووە لەو حاڵەی لەو ڕەنگەی نازانین بۆچی هاتووە	"So he got up and went to Consola, and he said, ""Jola, this is our guest, and we don't know why he's here""."
4_0012.wav	پکی	Pikey
4_0013.wav	یاخوود چۆن نازانی	Or how could you not know?
4_0014.wav	نازانین کوتی نە وەڵا نازانین کۆ نەختێکی گڵ پێیە ئەتووڕێکێکیشی دا	We don't know if it's a cottage or not. It's an earthenware pile.
4_0015.wav	سێوێکی پێیە هەنارێکیشی پێیە لە پێشە خۆشی داناوین هەرچەندە قسەشی لەگەڵ دەکەین قسان لەگەڵ یەک بەشەری ناوکە	There's an apple on the foot, and there's a spider on the forehead, and we're talking to it, but it's only one part of the brain.
4_0016.wav	خیجا باشە ئەوە چەندم دەدەنێ ئەمن	Okay, that's what they're paying me.
4_0017.wav	کە لێت سەرن گوێی دەفەنکێ گوتی ئەوەندەت دەدەینێ گوتی باش گوتی تۆ بڕۆ منیش دێم	"She said she'd give you that much. She said, ""Okay, you go, I'll come""."
4_0018.wav	مریشکیشیان دانابووەوە شەش حەوت فرووجی لەبەر من فرووجەکان زەری ڕەسیدە ببوون کوتی ئەتۆ دەتوانی	They had six chickens, seven fries, and I thought the fries were the gold of the raisin. You can do it.
4_0019.wav	حافرت مەعزی ڕەزای ئە و خودایە ئە و مریشکەم بە جوچکەوە بدەیە دەیبەم بۆ بارەگایە	Hafert is a goat and he's a god and he gives me a chicken and I take it to the barracks.
4_0020.wav	کوڕە کوتی بە خودایە ئەوەم لە دایک و بابی خۆم قووشت دەوێ چۆنە منم مریشکەت لە دەمێیە وەڵا ناردمێیە بە هێندە سوننەت و قورئان کوتی حەتچی لێی هات دەدەمەوە بۆت هەڵدەبژێرم	Little boy, I swear to God, I'm going to kill my mother and father. I'll send you a chicken from my mouth. With so much sunnah and Quran, I will return the little boy to you. I will choose for you.
4_0021.wav	مریشکەکە ون بێ دوو مریشکت بۆ دەکڕمەوە ئاوە ون بێ دوو فرۆژێک بمرێ دوو فرۆشت بۆ دەکڕمەوە کوتی نەخێر نە وەڵا نادەمێ با هیچ نموونەیەکی بێ لە خێزانی	The chicken is missing. Two chickens. I'll buy you water. Two days.
4_0022.wav	نەستان دەقەر تاڵێکی نا	It's not a sharp cut.
4_0023.wav	کوتی بۆچی هاتووی چۆکەن میوانەی گەر تاڵەی مریشکی بت لە بارگا داینایدی کوتی بۆچی هاتووی	Cutie, why are you here?
4_0024.wav	کە ئاواکی لەگەڵەکەی دەکا ئاواک لە سێوەکەی و ئاوەکەی لە هەنارەکەی	And the water was in his mouth, and the water in his belly.
4_0025.wav	دەنگیشی نەدەکرد هەروەکوو کەڕ و لاڵ بە هیچ دەنگیشی نەدەکرد	And it didn't make a sound, just like the deaf and the dumb couldn't sound at all.
4_0026.wav	گوتی هەی جۆڵە کۆگڵەی هێنا دەم و قونینە قونی وە سەر دا	"She said, ""Hey, she's got a ball in her face, and she has a kneecap, and it's on her head""."
4_0027.wav	ەی	Oh, my gosh.
4_0028.wav	ئاوە مۆرێکی لێ کرد میوانە	He sealed it. It's a guest.
4_0029.wav	کی سێوەکەی هەڵگرتەوە دەباغەڵی ناتون تون ئە و ئاوە دەستی پێ گرت	She picked up the apple and started pouring water.
4_0030.wav	ژوورە	It's a room.
4_0031.wav	کوتی کابرای میوانە کوتی ئەگە هەنارەکەی بە عەرزی دا دا	The guest's cottage, the cottages, put the light on the floor.
4_0032.wav	دەنک بە وڵاتی وەر بوو وەک وانێ کە ئەویش ئەگەر سەری مریشکی هەڵدا هەر مریشک بە وەن کە هەناری کەوتن خواردیان	It was a country of pigs, as it were, who, if he lifted a chicken's head, would eat the chicken that had fallen.
4_0033.wav	ککی ئیدی میوانە لێی داڕۆی	Eddie's daughter is a guest around him.
4_0034.wav	وی لێدا ڕۆی کوتی ئەوە لەم ناقلترە کوتی چاکە ئەوە چ سڕێک بوو ئەتۆ ئاوات کرد	"And he said, ""That's more than enough. That's what you wished for""."
4_0035.wav	گوتی ئەوە دەڵێ پادشا کچێکی هەیە ئەگەر ئەو کچەم نەدا کە یخاکی بە تورەکان دەبەم	She said it says the king has a daughter if I don't give her to him I'll take her to the tours.
